cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
noise_re4	icd_chapter	XIII	True	81	30.64	38	0.464	14.75	0.5936	0.6018	0.00549725137431284	0.695	0.243633253681501	0.2052	0.163	0.2466	1	0.213	0.213	1.839	0.00959746682283128	0.0293186739963352	3	5
noise_re4	icd_chapter	I	True	4	3	3	0.522	2.04	0.7586	0.7586	0.031984007996002	1.247	0.106206238005033	0.2841	0.2065	0.3581	1	0.3012	0.3012	5.7	0.12374692549613	0.127936031984008	4	5
noise_re4	icd_chapter	VI	True	25	14.3	15	0.274	4.65	0.5692	0.5615	0.126936531734133	0.541	0.294318381968577	0.2242	0.1794	0.2681	0.909	0.2088	0.1898	2.981	0.00737201994644913	0.406196901549225	5	5
noise_re4	icd_chapter	XII	True	17	9.09	8	0.409	4.31	0.5098	0.5221	0.447276361819091	0.066	0.473609317304701	0.2197	0.1569	0.2808	1	0.2235	0.2235	1.697	0.20406812739355	0.96551724137931	6	5
noise_re4	icd_chapter	VIII	True	11	6.11	3	0.426	3.18	0.5086	0.5125	0.480759620189905	0.055	0.478147690988208	0.1926	0.1281	0.2555	1	0.2076	0.2076	0.697	0.79910001312093	0.96551724137931	7	5
noise_re4	icd_chapter	IV	True	18	11.04	5	0.335	4.36	0.5059	0.5152	0.482758620689655	0.041	0.483721514873018	0.1669	0.1251	0.2082	1	0.156	0.156	0.712	0.811542486403193	0.96551724137931	8	5
noise_re4	icd_chapter	XIX	True	9	5.08	1	0.574	3.34	0.4101	0.4237	0.831584207896052	-0.506	0.693715453635254	0.1488	0.074	0.222	1	0.1777	0.1777	0.23	0.979551855926725	1	9	5
noise_re4	icd_chapter	XI	True	52	26.91	7	0.241	7.25	0.3818	0.3917	0.997501249375312	-1.037	0.850045903423368	0.1333	0.0918	0.1743	0.948	0.1563	0.1482	0.261	0.999934688856901	1	10	5
noise_re4	icd_chapter	IX	True	50	19.12	3	0.356	7.45	0.3762	0.394	0.997501249375312	-1.052	0.853587760444641	0.1213	0.0853	0.1569	0.997	0.1265	0.1261	0.104	0.999999937698881	1	11	5
noise_re4	icd_chapter	III	True	4	3	1	0.508	2.02	0.36	0.3758	0.826586706646677	-0.679	0.751554091308688	0.1558	0.0689	0.2403	1	0.1462	0.1462	0.622	0.82055216478206	1	12	5
